,Date,Regular,Diesel
0,2022-08-29,3.85,5.06
1,2022-08-30,3.8414285714285716,5.061428571428571
2,2022-08-31,3.8328571428571427,5.062857142857142
3,2022-09-01,3.8242857142857143,5.064285714285714
4,2022-09-02,3.815714285714286,5.065714285714286
5,2022-09-03,3.8071428571428574,5.067142857142858
6,2022-09-04,3.7985714285714285,5.0685714285714285
7,2022-09-05,3.79,5.07
8,2022-09-06,3.7800000000000002,5.061428571428571
9,2022-09-07,3.77,5.052857142857143
10,2022-09-08,3.7600000000000002,5.0442857142857145
11,2022-09-09,3.75,5.035714285714286
12,2022-09-10,3.74,5.027142857142857
13,2022-09-11,3.73,5.018571428571429
14,2022-09-12,3.72,5.01
15,2022-09-13,3.7142857142857144,5.001428571428571
16,2022-09-14,3.7085714285714286,4.992857142857143
17,2022-09-15,3.702857142857143,4.984285714285714
18,2022-09-16,3.6971428571428575,4.975714285714286
19,2022-09-17,3.6914285714285717,4.967142857142857
20,2022-09-18,3.685714285714286,4.958571428571429
21,2022-09-19,3.68,4.95
22,2022-09-20,3.6871428571428573,4.942857142857143
23,2022-09-21,3.6942857142857144,4.935714285714286
24,2022-09-22,3.7014285714285715,4.928571428571429
25,2022-09-23,3.7085714285714286,4.921428571428572
26,2022-09-24,3.7157142857142857,4.914285714285715
27,2022-09-25,3.722857142857143,4.9071428571428575
28,2022-09-26,3.73,4.9
29,2022-09-27,3.7399999999999998,4.895714285714286
30,2022-09-28,3.75,4.8914285714285715
31,2022-09-29,3.76,4.887142857142857
32,2022-09-30,3.77,4.8828571428571435
33,2022-10-01,3.78,4.878571428571429
34,2022-10-02,3.79,4.8742857142857146
35,2022-10-03,3.8,4.87
36,2022-10-04,3.817142857142857,4.897142857142857
37,2022-10-05,3.834285714285714,4.924285714285714
38,2022-10-06,3.8514285714285714,4.951428571428571
39,2022-10-07,3.8685714285714283,4.978571428571429
40,2022-10-08,3.8857142857142857,5.005714285714285
41,2022-10-09,3.9028571428571426,5.032857142857143
42,2022-10-10,3.92,5.06
43,2022-10-11,3.9157142857142855,5.091428571428571
44,2022-10-12,3.9114285714285715,5.122857142857143
45,2022-10-13,3.907142857142857,5.154285714285714
46,2022-10-14,3.902857142857143,5.185714285714286
47,2022-10-15,3.8985714285714286,5.217142857142857
48,2022-10-16,3.8942857142857146,5.248571428571429
49,2022-10-17,3.89,5.28
50,2022-10-18,3.875714285714286,5.287142857142857
51,2022-10-19,3.8614285714285717,5.2942857142857145
52,2022-10-20,3.8471428571428574,5.301428571428572
53,2022-10-21,3.8328571428571427,5.308571428571429
54,2022-10-22,3.8185714285714285,5.315714285714286
55,2022-10-23,3.8042857142857143,5.322857142857143
56,2022-10-24,3.79,5.33
57,2022-10-25,3.7857142857142856,5.327142857142857
58,2022-10-26,3.7814285714285716,5.324285714285714
59,2022-10-27,3.777142857142857,5.321428571428571
60,2022-10-28,3.7728571428571427,5.3185714285714285
61,2022-10-29,3.7685714285714282,5.315714285714286
62,2022-10-30,3.7642857142857142,5.312857142857142
63,2022-10-31,3.76,5.31
64,2022-11-01,3.7657142857142856,5.314285714285714
65,2022-11-02,3.7714285714285714,5.3185714285714285
66,2022-11-03,3.777142857142857,5.322857142857143
67,2022-11-04,3.7828571428571425,5.3271428571428565
68,2022-11-05,3.7885714285714283,5.331428571428571
69,2022-11-06,3.794285714285714,5.335714285714285
70,2022-11-07,3.8,5.34
